1969,1749,2297,2318,68.5,70.4,69.4,69.2,0
1148,1076,1450,1475,67.3,69.8,69.3,70,1
850,783,1212,1170,68,70.7,68.6,69.9,2
754,650,1219,1240,67.7,69.8,69.4,70.1,3
955,810,1690,1628,68.8,71.4,70.2,71.2,4
2316,1773,3280,3199,71,72.1,70.6,72,5
4761,3607,5693,5886,69.7,71.5,69.1,71.4,6
6640,5360,7503,7944,69.1,71.5,70,71.4,7
6694,5556,8121,8326,69,71.4,69.4,70.6,8
5721,4464,7531,7608,68.2,70.7,68.3,69.6,9
5896,4785,7563,7526,67.9,68.1,67.5,69.2,10
6173,5283,8389,8248,67.6,68.6,66.7,68.9,11
7028,6088,8876,8923,66.6,67.7,66.6,68.5,12
7896,6976,9703,9573,66.5,66.7,64.6,67.8,13
9358,8800,9928,10221,65.9,65.6,48.9,63.6,14
10918,9944,10036,10507,62.3,49,38,53.2,15
10878,8561,9660,10618,59.4,26.5,33.5,43.9,16
10338,8580,9429,10248,41.2,24.3,29.6,38.8,17
9322,8378,9625,10038,54.5,33.3,34.7,38.2,18
7867,7302,8897,9354,62.3,63.7,39.3,53.4,19
6252,5770,7755,8099,65.9,67.6,63.9,66.1,20
5640,4991,6474,6519,66.9,68.9,66.9,69.8,21
5664,4928,6166,6178,67.4,69.3,66.8,69.9,22
3999,3546,4338,4320,68,70.1,69.1,71.4,23
