8213,66.6,7670,66.8,10075,60,10144,65.4,8566,58.2,7480,58,8947,49,8800,51.2,8652,65.1,7920,65.7,9516,52.2,9635,61.3,8898,65.9,8265,66.3,9714,49.6,9884,58,9449,64.2,8413,60.8,9622,44.9,9990,62,7388,67.2,6740,66.8,9592,56.3,9596,66,6358,67.7,5839,68.2,9118,65.7,9326,67.4,14
9987,62.8,9671,62.1,10537,51.7,10875,57.3,10313,56.9,8715,48,9287,39.1,9845,46.6,10607,61.1,9750,53.4,10021,45.6,10588,52.7,10322,61.9,9505,53.3,9897,39.9,10281,47.8,10507,60.8,9158,44.1,9698,39.4,10134,51.4,8141,66.4,7314,66.8,9553,56.6,9594,65.6,6560,67.5,6042,67.9,8767,62.1,9152,66.6,15
11079,58.8,9674,44.9,9968,41.5,10610,44.8,9941,48.6,7923,37.9,8784,34.5,9271,38.8,10043,52.6,8859,38.4,9607,35.7,10393,46.3,10685,59.8,8732,31.2,9518,32.8,10162,41.9,10099,58.3,8349,29.2,9371,31.4,10077,40.4,8042,66.7,7406,66.7,9777,54.8,9794,65.3,6692,67.8,6203,67.9,9012,61.9,9189,66.8,16
10724,54.4,8453,40.5,9133,37.2,9944,46.8,9793,33.1,8061,34.5,9001,33.7,9947,39.3,9767,40,8489,43.8,8860,30.1,9701,37.1,10316,55.4,8296,26.6,8961,29.6,9821,37.5,10122,59.1,8124,31.7,9464,33.9,10151,40,7811,66.6,7020,66.7,9677,57.5,9637,64.3,6772,68.2,6141,68.3,8651,59.9,8897,66.7,17
9257,56.1,7911,48.3,9309,38.9,9981,45.6,9657,38,7758,37.3,8855,35.6,9596,39.4,9879,50.1,8053,38.9,9112,34,9811,41.1,9383,56.6,7737,44.6,8854,35.4,9526,38.6,8707,61.8,7263,52,9214,37.8,9835,40.4,7308,64.9,6549,66,9092,57.8,9246,64.6,6686,66.8,6145,67.3,8432,61.2,8741,65.6,18
7344,63.5,6582,65.1,8481,53.1,9066,61.1,7589,61.6,6686,56.1,8682,44.8,8962,57.2,8183,60.6,7233,61.6,8319,44.2,8713,59.3,8003,61.4,7104,57.8,8671,42.7,9078,56.1,7380,62.8,6630,64.2,8581,47.5,8768,49.3,6832,64.2,6190,66,8903,61.2,8992,65,5833,66,5458,67.1,7477,56.9,7667,66,19
5496,66.2,5226,67.2,6980,65.3,6968,67.8,5658,65.6,5300,66.4,6990,63.6,7326,65.4,6040,64.8,5716,65.9,7281,54.3,7777,65.3,6533,64.3,6000,66,7859,62.9,8070,66.1,6166,64.1,5700,65.1,7690,51.2,7900,65.1,5890,65.4,5423,66.9,7596,65,7555,67.2,4847,66.7,4527,68.2,6159,65.2,6361,67.2,20
4631,67.2,4315,68.5,5666,67.2,5710,69.2,4896,66.2,4334,67.3,5768,65.8,5823,67.8,5331,66.3,4835,68,6311,64.4,6441,68.5,5724,65.3,5113,67.8,6545,66.9,6506,69.4,5869,64.3,5197,65.8,7016,63.1,6961,65.6,5791,65.6,5051,67.6,6836,65.9,6873,68,4399,67.1,3920,69,5247,67.8,5359,69.6,21
3680,68,3368,69.4,4401,68.4,4406,70,4212,67.2,3771,68.1,4782,66.9,4815,69.1,4398,66.4,3832,68.5,4837,67,4856,69.5,5149,66.5,4413,68.7,5617,67.5,5683,69.8,5470,65,4815,66.5,6176,64.3,5919,66.9,6249,65.5,5354,67.9,6657,66.3,6548,68.6,4302,66.3,3672,68.9,4851,67.7,4866,69.6,22
2766,68.7,2481,70.4,3208,69.2,3155,71.4,2904,67.8,2659,69.1,3277,66.8,3269,70.2,3120,66.6,2810,68.1,3449,67.4,3449,69.4,3707,67.6,3354,69.9,4123,68.8,4091,70.9,4942,66,4119,68,4881,66.8,4964,68.8,5412,66,4426,68.9,5461,67.4,5314,69.1,3290,67.3,2765,69.5,3545,67.6,3547,70.2,23
