Time,Traffic volume,Traffic speed
0,1749,70.4
1,1076,69.8
2,783,70.7
3,650,69.8
4,810,71.4
5,1773,72.1
6,3607,71.5
7,5360,71.5
8,5556,71.4
9,4464,70.7
10,4785,68.1
11,5283,68.6
12,6088,67.7
13,6976,66.7
14,8800,65.6
15,9944,49
16,8561,26.5
17,8580,24.3
18,8378,33.3
19,7302,63.7
20,5770,67.6
21,4991,68.9
22,4928,69.3
23,3546,70.1
